4	1	34	1	1	0	782	889	1264	7	-1	
5	1	34	1	1	1	782	889	1264	7	95.000000	 
2	1	35	0	0	0	782	1093	1263	7	-1	
3	1	35	1	0	0	782	1093	1263	7	-1	
4	1	35	1	1	0	782	1093	1263	7	-1	
5	1	35	1	1	1	782	1093	1263	7	95.000000	 
2	1	36	0	0	0	782	479	1258	9	-1	
3	1	36	1	0	0	782	479	1258	9	-1	
4	1	36	1	1	0	782	479	1258	9	-1	
5	1	36	1	1	1	782	479	1258	9	95.000000	 
2	1	37	0	0	0	804	2314	1206	9	-1	
3	1	37	1	0	0	804	2314	1206	9	-1	
4	1	37	1	1	0	804	2314	1206	9	-1	
5	1	37	1	1	1	804	2314	1206	9	95.000000	 
2	1	38	0	0	0	785	940	1249	8	-1	
3	1	38	1	0	0	785	940	1249	8	-1	
4	1	38	1	1	0	785	940	1249	8	-1	
5	1	38	1	1	1	785	940	1249	8	95.000000	 
2	1	39	0	0	0	785	1041	1248	7	-1	
3	1	39	1	0	0	785	1041	1248	7	-1	
4	1	39	1	1	0	785	1041	1248	7	-1	
5	1	39	1	1	1	785	1041	1248	7	95.000000	 
2	1	40	0	0	0	781	1351	1249	7	-1	
3	1	40	1	0	0	781	1351	1249	7	-1	
4	1	40	1	1	0	781	1351	1249	7	-1	
5	1	40	1	1	1	781	1351	1249	7	95.000000	 
2	1	41	0	0	0	785	1147	1196	6	-1	
3	1	41	1	0	0	785	1147	1196	6	-1	
4	1	41	1	1	0	785	1147	1196	6	-1	
5	1	41	1	1	1	785	1147	1196	6	95.000000	 
2	1	42	0	0	0	785	1909	1131	6	-1	
3	1	42	1	0	0	785	1909	1131	6	-1	
4	1	42	1	1	0	785	1909	1131	6	-1	
5	1	42	1	1	1	785	1909	1131	6	95.000000	 
2	1	43	0	0	0	790	2163	1079	9	-1	
3	1	43	1	0	0	790	2163	1079	9	-1	
4	1	43	1	1	0	790	2163	1079	9	-1	
5	1	43	1	1	1	790	2163	1079	9	95.000000	 
2	1	44	0	0	0	784	532	1097	9	-1	
3	1	44	1	0	0	784	532	1097	9	-1	
4	1	44	1	1	0	784	532	1097	9	-1	
5	1	44	1	1	1	784	532	1097	9	95.000000	 
2	1	45	0	0	0	785	636	1092	10	-1	
3	1	45	1	0	0	785	636	1092	10	-1	
4	1	45	1	1	0	785	636	1092	10	-1	
5	1	45	1	1	1	785	636	1092	10	95.000000	 
2	1	46	0	0	0	785	1707	935	6	-1	
3	1	46	1	0	0	785	1707	935	6	-1	
4	1	46	1	1	0	785	1707	935	6	-1	
5	1	46	1	1	1	785	1707	935	6	95.000000	 
2	1	47	0	0	0	785	1859	876	5	-1	
3	1	47	1	0	0	785	1859	876	5	-1	
4	1	47	1	1	0	785	1859	876	5	-1	
5	1	47	1	1	1	785	1859	876	5	95.000000	 
2	1	48	0	0	0	782	1252	712	5	-1	
3	1	48	1	0	0	782	1252	712	5	-1	
4	1	48	1	1	0	782	1252	712	5	-1	
5	1	48	1	1	1	782	1252	712	5	95.000000	 
2	1	49	0	0	0	784	2115	703	6	-1	
3	1	49	1	0	0	784	2115	703	6	-1	
4	1	49	1	1	0	784	2115	703	6	-1	
5	1	49	1	1	1	784	2115	703	6	95.000000	 
2	1	50	0	0	0	782	1962	649	4	-1	
3	1	50	1	0	0	782	1962	649	4	-1	
4	1	50	1	1	0	782	1962	649	4	-1	
5	1	50	1	1	1	782	1962	649	4	95.000000	 
2	1	51	0	0	0	781	688	1265	9	-1	
3	1	51	1	0	0	781	688	1265	9	-1	
4	1	51	1	1	0	781	688	1265	9	-1	
5	1	51	1	1	1	781	688	1265	9	95.000000	 
2	1	52	0	0	0	781	429	1260	8	-1	
3	1	52	1	0	0	781	429	1260	8	-1	
4	1	52	1	1	0	781	429	1260	8	-1	
5	1	52	1	1	1	781	429	1260	8	95.000000	 
2	1	53	0	0	0	776	385	15	2029	-1	
3	1	53	1	0	0	776	385	15	2029	-1	
4	1	53	1	1	0	776	385	15	2029	-1	
5	1	53	1	1	1	776	385	15	2029	95.000000	 
2	1	54	0	0	0	714	385	18	2485	-1	
3	1	54	1	0	0	714	385	18	2485	-1	
4	1	54	1	1	0	714	385	18	2485	-1	
5	1	54	1	1	1	714	385	18	2485	95.000000	 
2	1	55	0	0	0	0	2668	0	70	-1	
3	1	55	1	0	0	0	2668	0	70	-1	
4	1	55	1	1	0	0	2668	0	70	-1	
5	1	55	1	1	1	0	2668	0	70	95.000000	     
2	1	56	0	0	0	0	2668	0	22	-1	
3	1	56	1	0	0	0	2668	0	22	-1	
4	1	56	1	1	0	0	2668	0	22	-1	
5	1	56	1	1	1	0	2668	0	22	95.000000	  
4	1	56	1	2	0	0	2668	0	22	-1	
5	1	56	1	2	1	0	2668	0	22	95.000000	  
2	1	57	0	0	0	0	2668	0	71	-1	
3	1	57	1	0	0	0	2668	0	71	-1	
4	1	57	1	1	0	0	2668	0	71	-1	
5	1	57	1	1	1	0	2668	0	71	95.000000	    
2	1	58	0	0	0	0	2668	0	76	-1	
3	1	58	1	0	0	0	2668	0	76	-1	
4	1	58	1	1	0	0	2668	0	76	-1	
5	1	58	1	1	1	0	2668	0	76	95.000000	   
2	1	59	0	0	0	0	2668	0	41	-1	
3	1	59	1	0	0	0	2668	0	41	-1	
4	1	59	1	1	0	0	2690	0	19	-1	
5	1	59	1	1	1	0	2690	0	19	95.000000	  
4	1	59	1	2	0	0	2668	0	24	-1	
5	1	59	1	2	1	0	2668	0	24	95.000000	   
2	1	60	0	0	0	584	386	17	2485	-1	
3	1	60	1	0	0	584	386	17	2485	-1	
4	1	60	1	1	0	584	386	17	2485	-1	
5	1	60	1	1	1	584	386	17	2485	95.000000	 
2	1	61	0	0	0	0	2738	0	44	-1	
3	1	61	1	0	0	0	2738	0	44	-1	
4	1	61	1	1	0	0	2738	0	44	-1	
5	1	61	1	1	1	0	2738	0	44	95.000000	   
2	1	62	0	0	0	541	394	1490	2473	-1	
3	1	62	1	0	0	544	394	1487	2473	-1	
4	1	62	1	1	0	2001	496	30	2370	-1	
5	1	62	1	1	1	2003	496	22	75	19.121010	xX{X
5	1	62	1	1	2	2002	705	22	73	38.587894	X|xX
5	1	62	1	1	3	2002	906	22	73	0.000000	xX
5	1	62	1	1	4	2002	1111	21	22	2.436821	x)
5	1	62	1	1	5	2001	1164	22	22	2.436821	xX
5	1	62	1	1	6	2001	1319	22	20	3.240936	xX
5	1	62	1	1	7	2002	1368	22	20	3.240936	|X
5	1	62	1	1	8	2002	1518	21	21	46.002956	x}
5	1	62	1	1	9	2001	1568	22	22	46.002956	X
5	1	62	1	1	10	2001	1724	22	72	27.106934	xX|X
5	1	62	1	1	11	2001	1926	22	22	0.000000	xX}
5	1	62	1	1	12	2001	1977	22	22	0.000000	xX
5	1	62	1	1	13	2002	2711	29	92	30.184486	sisdpeue
5	1	62	1	1	14	2003	2811	23	55	0.000000	4ShY
4	1	62	1	2	0	1953	740	55	1653	-1	
5	1	62	1	2	1	1981	740	9	32	16.157532	|
5	1	62	1	2	2	1953	834	32	116	37.631550	4
5	1	62	1	2	3	1970	1743	38	25	40.198463	_|
5	1	62	1	2	4	1980	1956	9	20	54.213509	4
5	1	62	1	2	5	1969	2091	38	43	32.614792	—L
5	1	62	1	2	6	1979	2366	6	27	3.164032	|
4	1	62	1	3	0	1936	446	48	2420	-1	
5	1	62	1	3	1	1937	446	22	22	50.705460	X|
5	1	62	1	3	2	1937	496	22	76	40.626873	XIX
5	1	62	1	3	3	1937	654	21	22	0.000000	xX}
5	1	62	1	3	4	1936	705	22	74	27.072609	X/xX
5	1	62	1	3	5	1938	2301	46	25	42.807472	|
5	1	62	1	3	6	1940	2518	19	137	0.000000	Juoulssasse
5	1	62	1	3	7	1936	2663	29	86	0.000000	oSueyo
5	1	62	1	3	8	1936	2756	30	110	19.530373	posodolg
4	1	62	1	4	0	1907	668	45	1449	-1	
5	1	62	1	4	1	1916	668	16	24	73.337524	—
5	1	62	1	4	2	1915	740	6	13	47.682526	4
5	1	62	1	4	3	1907	1085	12	26	26.957275	+
5	1	62	1	4	4	1913	1147	39	15	60.127342	|
5	1	62	1	4	5	1915	1346	13	9	64.136391	a
5	1	62	1	4	6	1916	1493	10	27	42.838562	=
5	1	62	1	4	7	1915	2051	14	66	26.864594	|__|
4	1	62	1	5	0	1873	2300	46	536	-1	
5	1	62	1	5	1	1882	2300	37	19	48.736324	|
5	1	62	1	5	2	1874	2537	29	99	26.833160	Jornddns
5	1	62	1	5	3	1873	2647	23	43	91.306244	pue
5	1	62	1	5	4	1874	2698	23	64	23.650131	yoyo
5	1	62	1	5	5	1875	2771	22	65	42.654808	APA
4	1	62	1	6	0	1839	2080	30	787	-1	
5	1	62	1	6	1	1839	2080	22	124	50.603600	X{X|X
5	1	62	1	6	2	1839	2282	22	71	39.947742	X/X
5	1	62	1	6	3	1839	2382	22	21	60.408741	|X|
5	1	62	1	6	4	1839	2446	22	38	44.111900	942
5	1	62	1	6	5	1839	2493	23	102	19.908783	deomjaq
5	1	62	1	6	6	1839	2603	23	108	12.740997	coujrojur
5	1	62	1	6	7	1840	2719	22	33	44.558876	oy)
